,Url,Name,Price,Reviews,Rating
44,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4Njk0MDc3NDk0ODMyOjE2Nzk1MDI1NjY6c3BfYXRmX25leHQ6MjAxMTM3ODgxNzUxOTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502566%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"1,349","(7,738)",4.3
45,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4Njk0MDc3NDk0ODMyOjE2Nzk1MDI1NjY6c3BfYXRmX25leHQ6MjAxMDg0NzUwNzQ2OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BRMWDNZ7%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502566%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","2,400",(19),4.7
46,https://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-35,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.","1,099",(393),4.3
47,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-36,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,"(2,349)",3.9
48,https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-37,NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,529,"(3,767)",4.2
49,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-38,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,(740),3.7
50,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-39,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",448,"(12,356)",4.3
51,https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-40,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",652,"(2,734)",4.4
52,https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-41,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"1,032","(16,474)",4.4
53,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-42,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",799,(495),4.1
54,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4Njk0MDc3NDk0ODMyOjE2Nzk1MDI1NjY6c3BfbXRmOjIwMDE1OTQ2MzU1NDk4OjowOjo&url=%2FLunars-Laptop-Office-Water-Resistant%2Fdp%2FB09MF7B1ZK%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502566%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Lunar's 45 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,899,(128),3.9
55,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzI4Njk0MDc3NDk0ODMyOjE2Nzk1MDI1NjY6c3BfbXRmOjIwMDg0MTM4NDM5NTk4OjowOjo&url=%2FSINOPACK-BACKPACK-LAPTOP-SCHOOL-LITER%2Fdp%2FB0BGPFCN7L%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679502566%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"SINOPACK BAG AND BACKPACK FOR LAPTOP, SCHOOL, 32 LITER (33cms x 22cms x 51cms)",499,(1),5.0
56,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMVV77/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1679502566&sprefix=ba%2Caps%2C283&sr=8-45,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,843,"(5,144)",4.0
